DateTime,AddedIPs,RemovedIPs
1446859804,28,848
1446860720,1058,0
1446862521,1792,256
1446862922,7,9
1446863400,9,0
1446864349,788,514
1446865231,15,1536
1446866275,2044,0
1446867000,9,1024
1446867919,295,0
1446870432,771,1
1446871520,1093,256
1446872173,0,1280
1446872642,1,0
1446873322,1022,0
1446874571,19,1
1446875401,296,256
1446875758,0,256
1446876921,1023,0
1446877621,9,6
1446877800,5,0
1446878709,554,255
1446879357,0,256
1446880522,770,0
1446881400,5,0
1446882300,209,213
1446882850,256,513
1446883441,0,511
1446884256,1022,0
1446885000,3,0
1446885900,535,256
1446886446,1,2
1446886808,17,256
1446887959,1791,0
1446888605,12,0
1446889500,291,767
1446890157,0,1023
1446891478,770,0
1446892321,29,1038
1446893100,1319,0
1446894242,144,32
1446895089,514,513
1446895800,12,0
1446896499,768,1024
1446896721,36,0
1446897621,3,512
1446897842,0,5
1446898522,512,0
1446899228,1,2
1446899400,4,0
1446900061,1278,0
1446900300,39,0
1446903368,15,334
1446903900,295,0
1446903924,1,0
1446905720,1024,0
1446906370,0,6
1446906722,7,11
1446907521,2066,0
1446908400,10,0
1446908669,5,2
1446909069,768,512
1446910200,14,0
1446910861,1279,512
1446911100,42,0
1446911197,1,1
1446911759,0,768
1446912670,1792,0
1446912938,3,0
1446913800,3,256
1446914961,294,3
1446915600,3,0
1446916523,0,1024
1446917400,10,0
1446917404,8,58
1446918300,35,0
1446918849,1280,257
1446919200,4,0
1446919784,0,2
1446920123,1,0
1446920772,511,256
1446921122,32,5
1446921900,33,0
1446921926,769,512
1446922810,0,1280
1446923723,5,0
1446924374,255,0
1446924600,37,0
1446925500,1308,256
1446926704,0,257
1446927417,1023,256
1446928200,3,0
1446929100,1573,512
1446929124,2,0
1446930549,1,1281
1446930907,509,2
1446930921,4,0
1446931572,512,0
1446931805,23,0
1446932700,41,0
1446932725,1022,0
1446934687,8,0
1446935194,512,0
1446935521,14,6
1446936300,812,256
1446937200,4,0
1446938216,2304,768
1446939000,10,0
1446939900,2077,256
1446939920,1,0
1446940800,12,0
1446943030,1558,778
1446943500,2089,768
1446945307,1794,538
1446946222,24,767
1446947122,1556,479
1446948000,35,0
1446948021,0,768
1446949022,1018,0
1446949922,9,5
1446950700,1319,1023
1446951622,0,767
1446953182,512,0
1446954110,9,0
1446954300,1817,512
1446955749,3,771
1446956106,1537,0
1446957022,18,768
1446957900,1046,0
1446958800,8,0
1446959887,0,1
1446960391,511,1023
1446960622,29,0
1446961500,1041,0
1446962426,0,511
1446964025,1792,767
1446964322,1,15
1446965153,1033,0
1446966241,0,1024
1446966907,516,0
1446968167,7,1
1446968459,1664,1200
1446968700,8,1
1446969620,2,0
1446970638,1535,255
1446971425,10,512
